#t,tx,ty,tz,qx,qy,qz,qw,pxx,pxy,pxz,pyy,pyz,pzz,qrr,qrp,qry,qpp,qpy,qyy
0,0.5,0.5,0.5,-0.095491667163383,-0.759396690413302,0.030316155262416,0.642867745980296,1,0,0,1,0,1,0.0304617707699733,0,0,0.0304617707699733,0,0.0304617707699733
0.00499968,0.501267201486572,0.501270789436217,0.501248051595078,-0.0954566394273754,-0.759424458678528,0.0302155987587246,0.642844879532931,1.00022497133417,0,0,1.00022497175684,0,1.00022497173017,0.0304618151842757,0,0,0.0304618151842757,0,0.0304618151842757
0.009999872,0.502556967808946,0.502558819290138,0.502491206380591,-0.095440715482948,-0.759467407202648,0.0301376212718838,0.642800164132728,1.0008999780124,0,0,1.00089998483076,0,1.00089998437662,0.0304618908509831,0,0,0.0304618908509831,0,0.0304618908509832
0.014999808,0.503873303095973,0.503866720376725,0.503734043433543,-0.0954330090447087,-0.759500346737573,0.03007877605264,0.642765144762342,1.00202495241188,0,0,1.00202498690035,0,1.00202498451404,0.0304619977653063,0,0,0.0304619977653063,0,0.0304619977653066
0.02,0.505216882340722,0.505196306391987,0.504972726916469,-0.0954289369124827,-0.759541771157222,0.0300177603699512,0.642719651115069,1.00360001201328,0,0,1.00360012032595,0,1.00360011265553,0.0304621359352546,0,0,0.0304621359352548,0,0.030462135935255
0.02499968,0.50658664114014,0.506548172005789,0.506206205590268,-0.0954275507619929,-0.759597045450229,0.0299385971256765,0.642658222931129,1.00562488342767,0,0,1.00562514705285,0,1.00562512815277,0.0304623053416353,0,0,0.0304623053416364,0,0.0304623053416349
0.029999872,0.507982507138745,0.507922757943414,0.507438703981069,-0.0954186267596604,-0.759644341589765,0.0298513634137964,0.642607699969655,1.00809998535431,0,0,1.0081005320605,0,1.00810049263738,0.0304625060132551,0,0,0.0304625060132567,0,0.0304625060132536
0.034999808,0.50940450236491,0.509319895178118,0.508669122148734,-0.0954104411793266,-0.759691993616396,0.0297660009108917,0.642556540499655,1.01102497691814,0,0,1.0110259888844,0,1.0110259155542,0.03046273792612,0,0,0.0304627379261217,0,0.0304627379261167
0.04,0.510852938149562,0.510738163301512,0.509893967649514,-0.0954132569373428,-0.759751484795732,0.029680882608133,0.642489717395455,1.01440016326476,0,0,1.01440188669875,0,1.01440176123927,0.0304630011010321,0,0,0.0304630011010352,0,0.0304630011010224
0.04499968,0.512327602569661,0.512174226355753,0.511116387251708,-0.0954120180477742,-0.75981144754417,0.029599272866553,0.642422753363123,1.01822499835315,0,0,1.01822775751696,0,1.01822755603522,0.0304632954995933,0,0,0.0304632954996018,0,0.0304632954995724
0.049999872,0.513827711888115,0.513628161501677,0.51234218922428,-0.0954014889412698,-0.7598561370883,0.0295367374012927,0.642374336334136,1.0225002728219,0,0,1.0225044816225,0,1.0225041742096,0.0304636211762147,0,0,0.0304636211762344,0,0.0304636211761823
0.054999808,0.51535208150589,0.515102878956677,0.513569868393443,-0.0953929868016921,-0.759888532773161,0.0294909782982566,0.642339379166431,1.02722537251743,0,0,1.02723153949659,0,1.02723108929609,0.0304639780877127,0,0,0.0304639780877486,0,0.0304639780876693
0.059999744,0.516901632699378,0.51660069682526,0.514793785745401,-0.0953924595077007,-0.75992488179043,0.0294401890643216,0.642298784034915,1.03240051357483,0,0,1.03240924870312,0,1.03240861088507,0.0304643662484917,0,0,0.030464366248549,0,0.0304643662484328
0.06499968,0.518476719869914,0.518122329906208,0.51601239609141,-0.0953957137752557,-0.759973547374831,0.0293684425811395,0.642244003213875,1.03802570541958,0,0,1.03803773650732,0,1.03803685763401,0.0304647856585428,0,0,0.030464785658626,0,0.0304647856584578
